,device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price
33,Huawei,Android,25.5,yes,no,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,1026.6177774
34,Huawei,Android,16.71,yes,yes,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,1230.6911674
35,Huawei,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,928.8781798
36,Huawei,Android,25.6,yes,yes,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,1036.491496
37,Huawei,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,864.428785
38,Huawei,Android,16.74,yes,no,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,1013.0878171999999
39,Huawei,Android,15.34,yes,no,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,986.2751226
40,Huawei,Android,25.6,yes,no,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,999.5370270000001
41,Huawei,Android,15.9,yes,no,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,999.307274
42,Huawei,Android,15.32,yes,no,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,907.4853068
43,Huawei,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,941.0573954
44,Huawei,Android,16.59,yes,yes,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,1134.836401
45,Huawei,Android,16.81,yes,yes,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,1076.0900392
46,Huawei,Android,16.81,yes,no,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,1002.9652997999999
47,Huawei,Android,15.9,yes,no,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,1028.6949562
48,Huawei,Android,16.74,yes,no,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,967.8586482000001
49,Huawei,Android,25.6,yes,no,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,987.3259762
50,Huawei,Android,20.42,yes,no,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,1058.8518285999999
51,Huawei,Android,20.42,yes,no,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,1000.238167
52,Huawei,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,1085.6409254
53,Huawei,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,1075.7120108000001
54,Huawei,Android,15.34,yes,no,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,1011.7707731999999
55,Huawei,Android,15.34,yes,no,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,1008.7366296000001
56,Huawei,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,921.4935090000001
57,Huawei,Android,10.16,no,no,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,715.8687134
58,Huawei,Android,17.78,no,no,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,796.4590116
59,Infinix,Android,17.32,yes,no,,8.0,32.0,2.0,6000.0,209.0,2020,245,856.4136336
60,Infinix,Android,15.39,yes,no,,8.0,64.0,4.0,5000.0,185.0,2020,173,872.7216097999999
61,Infinix,Android,15.39,yes,no,,8.0,32.0,2.0,5000.0,185.0,2020,256,836.2878538
62,Infinix,Android,15.39,yes,no,,16.0,32.0,3.0,4000.0,178.0,2019,316,911.0488754
63,Infinix,Android,15.29,yes,no,,16.0,32.0,2.0,4000.0,165.0,2019,468,883.3339156
64,Lava,Android,14.5,yes,no,,5.0,32.0,2.0,3200.0,150.0,2020,356,797.9819088
65,Lava,Android,12.7,no,no,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,699.1196114
66,Lenovo,Android,25.43,yes,no,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,945.3536316
67,Lenovo,Android,25.43,no,no,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,1042.9762816
68,Lenovo,Android,15.47,yes,no,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,788.1220924
69,Lenovo,Android,20.32,yes,no,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,955.8751124
70,Lenovo,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,892.7443644
71,Lenovo,Android,17.78,yes,no,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,779.219371
72,Lenovo,Android,16.23,yes,no,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,884.7296617999999
73,Lenovo,Android,16.23,yes,yes,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,1068.5625212
74,Lenovo,Android,15.32,yes,no,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,935.3678946
75,Lenovo,Android,25.43,yes,no,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,1011.2364218
76,LG,Android,16.59,yes,no,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,975.8165787999999
77,LG,Android,15.44,yes,no,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,870.0297792000001
78,LG,Others,5.28,yes,no,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,775.1132936
79,LG,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,946.8885044
80,LG,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,1095.2927104
81,LG,Android,15.37,yes,no,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,927.3919016000001
82,LG,Android,14.5,yes,no,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,846.1535206000001
83,LG,Android,25.43,yes,no,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,941.9240574
84,LG,Android,15.34,yes,yes,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,1093.5360644
85,LG,Android,15.34,yes,no,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,939.3857221999999
86,LG,Android,13.84,yes,no,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,851.0657964
87,LG,Android,13.84,yes,no,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,817.8664039999999
88,LG,Android,15.27,yes,no,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,928.7050280000001
89,LG,Android,15.37,yes,no,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,910.1216795999999
90,LG,Android,15.8,yes,no,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,892.3754031999999
91,LG,Android,15.9,yes,no,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,916.4621784
92,LG,Android,15.72,yes,no,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,874.7988925999999
93,LG,Android,15.29,yes,no,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,903.5299176000001
94,LG,Android,15.29,yes,no,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,977.5880428
95,LG,Android,12.83,yes,no,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,871.7260114000001
96,LG,Android,7.62,no,no,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,605.5430638
97,Meizu,Android,15.39,yes,yes,,20.0,128.0,8.0,4500.0,199.0,2020,186,1033.5733874
98,Meizu,Android,15.37,yes,no,,16.0,128.0,6.0,4500.0,183.0,2019,449,933.102483
99,Meizu,Android,15.37,yes,no,,8.0,32.0,2.0,4000.0,184.0,2019,190,858.0370862000001
100,Meizu,Android,15.29,yes,no,,20.0,128.0,6.0,3600.0,166.0,2019,459,944.2169622
101,Meizu,Android,15.29,yes,no,,16.0,64.0,6.0,4000.0,165.0,2019,517,968.459107
102,Meizu,Android,15.29,yes,no,,20.0,128.0,6.0,3600.0,165.0,2019,332,991.8824345999999
103,Micromax,Android,10.16,no,no,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,608.7139205999999
104,Micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,477.3852482
105,Micromax,Android,10.03,no,no,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,571.2940412
106,Micromax,Android,10.16,no,no,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,621.7228862
107,Micromax,Android,7.75,no,no,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,597.9428402
108,Motorola,Android,15.37,yes,no,,16.0,128.0,6.0,5000.0,210.0,2020,242,965.9345626
109,Motorola,Android,15.42,yes,yes,,25.0,256.0,12.0,5000.0,203.0,2020,220,1037.3765772000002
110,Nokia,Android,16.56,yes,no,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,837.2023502
111,Nokia,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,723.2617522
112,Nokia,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,811.0860938
113,Nokia,Others,5.18,no,no,0.3,0.0,0.1,0.03,1020.0,90.5,2020,272,582.0348769999999
114,Nokia,Others,5.18,no,no,0.3,0.0,0.06,,1020.0,91.3,2020,288,545.8318328
115,Nokia,Android,17.3,yes,yes,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,1062.8086134
116,Nokia,Others,5.18,no,no,0.3,0.0,0.06,0.02,1200.0,88.2,2020,266,674.1476348
117,Nokia,Others,5.18,yes,no,0.3,0.0,,0.02,1200.0,86.5,2019,234,544.2590855999999
118,OnePlus,Android,16.64,yes,yes,,16.0,128.0,8.0,4300.0,180.0,2020,110,1124.1888392
119,OnePlus,Android,16.64,yes,yes,,16.0,128.0,8.0,4300.0,180.0,2020,208,1057.6332029999999
120,OnePlus,Android,16.94,yes,yes,,16.0,256.0,12.0,4085.0,206.0,2019,458,1142.6805436
121,OnePlus,Android,16.94,yes,yes,,16.0,128.0,6.0,4000.0,206.0,2019,294,1134.1967525999999
122,Oppo,Android,16.64,yes,yes,,32.0,128.0,8.0,4000.0,172.0,2020,187,1034.1763286
123,Oppo,Android,16.33,yes,yes,,32.0,128.0,8.0,4000.0,183.0,2020,271,1001.9269588
124,Oppo,Android,16.69,yes,yes,,32.0,128.0,6.0,4000.0,184.0,2020,100,1006.7791976000001
125,Oppo,Android,16.64,yes,yes,,16.0,128.0,8.0,4000.0,186.0,2020,186,1023.3231236
126,Oppo,Android,15.29,yes,no,,8.0,64.0,3.0,4230.0,168.0,2020,273,915.6625463999999
127,Oppo,Android,15.34,yes,yes,,32.0,128.0,8.0,4025.0,180.0,2020,146,1082.4630942000001
128,Oppo,Android,15.34,yes,yes,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,973.6760494
129,Oppo,Android,15.37,yes,no,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,914.074336
130,Oppo,Android,15.34,yes,no,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,987.2398126
131,Oppo,Android,15.34,yes,no,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,988.357054
132,Oppo,Android,16.59,yes,no,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,931.3436896000001
133,Oppo,Android,15.39,yes,yes,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,1059.122743
134,Oppo,Android,15.27,yes,no,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,864.4022404
135,Oppo,Android,15.29,yes,no,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,891.5427434
136,Oppo,Android,10.29,yes,no,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,804.9274300000001
137,Others,Android,16.43,yes,yes,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,1114.0425971999998
138,Realme,Android,15.37,yes,no,,16.0,64.0,4.0,4300.0,191.0,2020,289,940.5319614
139,Realme,Android,15.37,yes,no,,16.0,128.0,4.0,5000.0,199.0,2020,338,988.3141982
140,Realme,Android,15.37,yes,no,,5.0,32.0,3.0,5000.0,195.0,2020,111,899.6728364
141,Realme,Android,15.27,yes,no,,5.0,32.0,3.0,4000.0,166.0,2020,167,579.2928544
142,Realme,Android,15.27,yes,no,,5.0,32.0,2.0,4000.0,166.0,2019,399,857.7354064
143,Samsung,Android,20.32,yes,no,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,865.223488
144,Others,Android,15.34,yes,no,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,983.1330114
145,Others,Android,12.93,yes,no,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,836.1044516
146,Others,Android,16.59,yes,yes,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,1004.1699233999999
147,Others,Android,16.59,yes,no,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,1007.2606082
148,Others,Android,17.78,yes,no,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,875.7793484
149,Others,Android,15.39,yes,no,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,816.8588452
150,Others,Android,15.39,yes,no,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,983.8939692
151,Others,Android,12.83,yes,no,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,725.8789614
152,Others,Android,12.7,yes,no,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,794.9619988000001
153,Others,Android,12.7,yes,no,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,858.748344
154,Others,Android,15.42,yes,no,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,1035.0943074
155,Vivo,Android,16.36,yes,no,,32.0,128.0,8.0,4500.0,176.0,2020,343,1010.5728596
156,Vivo,Android,16.59,yes,no,,16.0,64.0,4.0,5000.0,204.1,2020,246,960.2131726
157,Vivo,Android,16.66,yes,yes,,32.0,128.0,8.0,4315.0,181.5,2020,145,1112.0670834
158,Vivo,Android,16.21,yes,no,,16.0,128.0,8.0,4500.0,190.2,2020,300,969.4663486
159,Vivo,Android,16.43,yes,no,,8.0,128.0,4.0,5000.0,197.0,2020,118,964.6521988
160,Vivo,Android,16.69,yes,yes,,16.0,128.0,6.0,4500.0,198.1,2020,312,990.869418
161,Vivo,Android,17.5,yes,yes,,16.0,256.0,8.0,4500.0,219.5,2020,226,1093.3756016
162,Vivo,Android,16.36,yes,no,,32.0,128.0,8.0,4500.0,176.0,2020,199,1038.5246924
163,Vivo,Android,16.36,yes,yes,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,1057.6028947999998
164,Vivo,Android,16.21,yes,no,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,954.1199750000001
165,Vivo,Android,16.59,yes,no,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,1012.860487
166,Vivo,Android,16.21,yes,no,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,1020.9465233999999
167,Vivo,Android,16.13,yes,no,13.0,8.0,64.0,3.0,5000.0,191.5,2019,230,883.5511364
168,Vivo,Android,16.21,yes,no,13.0,16.0,64.0,6.0,4500.0,198.5,2019,259,920.3328094
169,Vivo,Android,16.13,yes,no,13.0,8.0,64.0,4.0,5000.0,190.0,2019,349,918.72071
170,Vivo,Android,16.13,yes,no,13.0,16.0,128.0,4.0,5000.0,190.5,2019,500,981.469341
171,Vivo,Android,17.5,yes,yes,13.0,16.0,256.0,8.0,4500.0,218.5,2019,288,988.1426839999999
172,Vivo,Android,17.5,yes,no,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,1055.6943476000001
173,Vivo,Android,16.28,yes,yes,13.0,12.0,128.0,8.0,4500.0,217.0,2019,204,982.2219150000001
174,Vivo,Android,16.28,yes,no,13.0,12.0,128.0,8.0,4500.0,215.0,2019,293,1028.8700006
175,Vivo,Android,15.8,yes,no,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,793.2264662
176,Vivo,Android,16.21,yes,no,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,1041.3719512
177,Vivo,Android,16.21,yes,no,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,947.1343987999999
178,Vivo,Android,16.59,yes,no,13.0,16.0,64.0,4.0,5000.0,204.1,2019,338,991.2217416000001
179,Vivo,Android,16.23,yes,no,13.0,16.0,128.0,6.0,3700.0,185.0,2019,455,951.1658124
180,Vivo,Android,15.9,yes,no,13.0,16.0,64.0,4.0,3260.0,150.0,2019,431,922.9250690000001
181,Vivo,Android,16.13,yes,no,13.0,20.0,128.0,4.0,5000.0,190.5,2019,334,952.3663991999999
182,Vivo,Android,16.59,yes,no,13.0,16.0,128.0,6.0,3940.0,189.5,2019,415,1023.2631518
183,Vivo,Android,15.8,yes,no,13.0,5.0,16.0,2.0,4030.0,163.5,2019,266,876.4303254
184,Vivo,Android,10.29,no,no,5.0,2.0,4.0,0.5,1900.0,130.0,2013,931,675.8585092
185,Others,Android,12.93,yes,no,8.0,8.0,32.0,3.0,3400.0,145.0,2019,407,884.2975407999999
186,Others,Android,14.4,yes,no,13.0,8.0,16.0,2.0,2920.0,160.0,2019,233,904.7052394
187,Others,Android,15.21,yes,no,8.0,5.0,16.0,2.0,4000.0,185.0,2019,423,826.3601798
188,Others,Android,15.32,yes,no,8.0,16.0,128.0,6.0,4000.0,184.0,2019,470,971.5900412
189,Others,Android,15.9,yes,no,8.0,8.0,64.0,3.0,4000.0,178.0,2019,280,867.5626960000001
190,Xiaomi,Android,16.69,yes,yes,,20.0,128.0,8.0,4520.0,208.0,2020,318,970.4997807999999
191,Xiaomi,Android,16.69,yes,yes,,16.0,64.0,6.0,4520.0,205.0,2020,301,995.4984152
192,Xiaomi,Android,16.94,yes,yes,,16.0,128.0,6.0,4800.0,208.0,2020,319,1024.1847295999999
193,Xiaomi,Android,16.94,yes,yes,,16.0,128.0,6.0,4500.0,208.0,2020,184,1005.2492284
194,Xiaomi,Android,16.94,yes,no,,32.0,64.0,6.0,5020.0,209.0,2020,256,993.3506132
195,Xiaomi,Android,15.8,yes,no,,8.0,32.0,2.0,5000.0,188.0,2020,265,868.8130256000001
196,Xiaomi,Android,15.8,yes,no,,8.0,32.0,2.0,5000.0,188.0,2020,321,684.2000018
197,Xiaomi,Android,16.94,yes,no,,16.0,64.0,6.0,4500.0,208.0,2020,169,993.4620338
198,Xiaomi,Android,20.12,yes,yes,12.0,20.0,512.0,12.0,4050.0,241.0,2019,478,1323.8866004
199,Xiaomi,Android,16.23,yes,no,12.0,20.0,128.0,8.0,4000.0,196.0,2019,382,1072.1175384
200,Xiaomi,Android,16.23,yes,no,12.0,16.0,128.0,8.0,4000.0,191.0,2019,374,1038.4579924
201,Xiaomi,Android,15.27,yes,no,12.0,32.0,64.0,4.0,4030.0,173.8,2019,396,958.4792724
202,Xiaomi,Android,16.23,yes,no,12.0,32.0,64.0,6.0,4030.0,179.0,2019,406,977.2561426
203,Xiaomi,Android,15.32,yes,no,12.0,13.0,32.0,3.0,4000.0,186.0,2019,338,937.4790252
204,ZTE,Android,16.89,yes,yes,,12.0,256.0,8.0,5100.0,215.0,2020,235,1078.1701936
205,ZTE,Android,16.89,yes,yes,,12.0,128.0,6.0,5100.0,210.0,2020,278,930.4107544000001
206,ZTE,Android,15.24,yes,no,14.5,8.0,32.0,3.0,4000.0,160.0,2019,386,854.4423538
207,ZTE,Android,15.47,yes,no,16.0,5.0,32.0,3.0,3200.0,165.0,2019,325,881.6119624
208,ZTE,Android,15.32,yes,no,14.5,16.0,64.0,3.0,3200.0,165.0,2019,347,899.7395882
209,ZTE,Android,16.48,yes,no,14.5,8.0,128.0,4.0,5000.0,190.0,2019,343,914.632678
210,ZTE,Android,16.89,yes,no,48.0,16.0,128.0,8.0,5000.0,215.0,2019,336,1133.610333
211,ZTE,Android,16.31,yes,no,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,1048.7827956
212,ZTE,Android,13.84,yes,no,13.0,8.0,16.0,2.0,2600.0,157.0,2019,474,859.4842902
213,ZTE,Android,12.7,yes,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,349,760.7984521999999
214,ZTE,Android,12.7,no,no,8.0,5.0,16.0,1.0,2000.0,144.0,2019,385,786.2866798
215,ZTE,Android,16.89,yes,no,48.0,16.0,64.0,6.0,5000.0,215.0,2019,506,1052.7451844
216,ZTE,Android,16.43,yes,no,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,1005.9437418
217,ZTE,Android,13.84,yes,no,13.0,8.0,16.0,2.0,3200.0,135.0,2018,595,890.0304928
218,ZTE,Android,15.27,yes,no,16.0,5.0,32.0,2.0,3200.0,146.0,2019,420,867.849921
219,Honor,Android,14.5,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,138,893.2735566
220,Honor,Android,17.3,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,268,1010.3810376
221,Honor,Android,16.69,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,195,1003.6016096000001
222,Honor,Android,25.5,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,272,980.6693991999999
223,Honor,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,346,895.5582514
224,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,362,893.3195072
225,Honor,Android,13.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,355,792.3149568
226,Honor,Android,15.77,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,202,955.2187396
227,Honor,Android,15.32,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,310,960.7550226000001
228,Honor,Android,16.23,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,141,966.3495667999999
229,Honor,Android,15.47,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,228,895.239961
230,Honor,Android,15.32,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,213,921.971835
231,Honor,Android,16.69,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,504,1034.505472
232,Honor,Android,15.32,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,371,959.4389036000001
233,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,201,844.0191536
234,Honor,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,354,883.1889706000001
235,Honor,Android,15.9,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,311,1036.0418556000002
236,Honor,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,524,935.8699167999999
237,Honor,Android,14.5,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,388,811.1553938
238,Honor,Android,25.43,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,234,907.9982920000001
239,Honor,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,251,858.9121218
240,Others,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,1048,979.9705396
241,HTC,Android,15.29,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,194,965.8066956000001
242,HTC,Android,12.88,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,385,972.0554826000001
243,HTC,Android,15.29,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,323,877.6017412
244,HTC,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,489,926.7903974
245,HTC,Android,15.29,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,392,1008.3104794000001
246,Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,204,973.0910736000001
247,Huawei,Android,15.37,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,328,994.3373088
248,Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,134,1011.796183
249,Huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,127,996.186363
250,Huawei,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5100.0,310.0,2020,240,843.6366598
251,Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,8.0,4000.0,189.0,2020,102,983.3381696
